Time,Surge,Sway,Yaw
240.2,16.52666664,55.50972366,-99.32057953
240.3,15.92178154,54.11857224,-93.03437805
240.4,15.26233292,52.32271576,-86.77462769
240.5,14.55413151,50.11604691,-80.64407349
240.6,13.81974602,47.59165955,-74.85329437
240.7,13.08586693,44.88241577,-69.62350464
240.8,12.37100601,42.09447098,-65.10144043
240.9,11.67934895,39.26720047,-61.31318665
241,11.00327682,36.37792587,-58.16384125
241.1,10.33279133,33.38632965,-55.47467422
241.2,9.666894913,30.2937355,-53.04419708
241.3,9.021234512,27.18546295,-50.71915054
241.4,8.428153038,24.23324013,-48.46074677
241.5,7.928700924,21.65366173,-46.38861847
241.6,7.559604168,19.63907051,-44.7828331
241.7,7.340214252,18.28928947,-44.03031158
241.8,7.264438152,17.57211304,-44.51828384
241.9,7.300723076,17.32831001,-46.50043488
242,7.400256634,17.31942558,-49.98056793
242.1,7.510802269,17.30112267,-54.66336823
242.2,7.591858387,17.09696579,-60.00642014
242.3,7.626614094,16.64907074,-65.37560272
242.4,7.62722683,16.0309391,-70.26818848
242.5,7.631854057,15.42002392,-74.53749084
242.6,7.693992138,15.03903675,-78.54078674
242.7,7.866620064,15.08292961,-83.14355469
242.8,8.185032845,15.65180397,-89.54784393
242.9,8.652968407,16.70866776,-98.96530914
243,9.236373901,18.07533264,-112.2139435
243.1,9.867731094,19.47031784,-129.3648834
243.2,10.46121311,20.58094978,-149.5793457
243.3,10.93545246,21.15026474,-171.2377625
243.4,11.23738861,21.05203247,-192.3715668
243.5,11.35896015,20.32769203,-211.2846832
243.6,11.33947754,19.1692276,-227.1450043
243.7,11.25082588,17.85011864,-240.2915497
243.8,11.16904163,16.62630081,-252.0761566
243.9,11.141922,15.6427927,-264.2340698
244,11.1653614,14.88217163,-277.9885254
244.1,11.17905807,14.17668629,-293.2494507
244.2,11.08526421,13.28111935,-308.2757874
244.3,10.78484917,11.97849941,-320.008667
244.4,10.21716022,10.17660236,-325.0046387
244.5,9.387795448,7.956810951,-320.6231384
244.6,8.372946739,5.557317734,-305.9897766
244.7,7.298793316,3.300962687,-282.3375244
244.8,6.305137634,1.501119137,-252.602005
244.9,5.509018421,0.38609463,-220.4816437
245,4.983176231,0.070353948,-189.4103241
245.1,4.756353378,0.575802922,-161.9022827
245.2,4.831366539,1.881268978,-139.5116577
245.3,5.208359718,3.96600914,-123.3126678
245.4,5.898884296,6.819706917,-114.530365
245.5,6.922412395,10.41307259,-114.8837967
245.6,8.287238121,14.64784908,-126.3806534
245.7,9.966897011,19.3190403,-150.6269531
245.8,11.88622952,24.11754799,-188.0057678
